feature,between_person_variance_proxy,within_person_variance_proxy,between_fraction,within_fraction,n_windows,n_participants
mean_hr_bpm,64.5733178163743,34.44029923855271,0.6521660326836941,0.3478339673163059,344,5
mean_nn_ms,10429.453374895656,3946.1832848726744,0.7254950595741985,0.2745049404258016,344,5
log_rmssd,0.07742388071488322,0.06449603923535162,0.5455462541272037,0.4544537458727963,344,5
sdnn_ms,285.70334598434886,271.1052983466874,0.5131086754725225,0.4868913245274775,344,5
cvnn,0.0001868716130836668,0.00029390221926257437,0.38868923496045554,0.6113107650395444,344,5
pnn20,0.015411373315838552,0.013060701312911384,0.5412803076975915,0.45871969230240855,344,5
pnn50,0.009433944356784064,0.011108029571693809,0.45925208500559633,0.5407479149944037,344,5
sd1_sd2,0.004685821790219576,0.01548345622130244,0.23232471621159306,0.767675283788407,344,5
hr_slope_bpm_per_min,0.35312953789911805,6.326101270569449,0.05286979115190729,0.9471302088480927,344,5
nn_slope_ms_per_min,58.095896117136036,1018.9454131985058,0.0539402672995435,0.9460597327004564,344,5
hrv_dfa_alpha1,0.008746527200805479,0.03211620225040703,0.2140465729595541,0.7859534270404459,344,5
hrv_lag1,0.0068692111487051784,0.02146514368216099,0.24243400598704193,0.7575659940129581,344,5
hrv_roughness,0.008590193164816028,0.02883253200465983,0.22954483207499513,0.770455167925005,344,5
hrv_sign_change,0.00962034758370105,0.004164182813503476,0.6979089824962073,0.3020910175037928,344,5
hrv_perm_entropy3,0.0025772798559549346,0.0007660556981873897,0.770870830707297,0.22912916929270302,344,5
hrv_difference_entropy,0.0007797233026588014,0.003602571942014575,0.17792578069826423,0.8220742193017357,344,5
hrv_sample_entropy,0.029421272923060786,0.09262343925863929,0.24106962437879667,0.7589303756212034,344,5
