window_id,participant_id,session_id,task,cognitive_efficacy,autonomic_load,divergence_profile
sub-01:ses-S1:PVT:120:0,sub-01,ses-S1,PVT,0.6278538812785388,0.376453488372093,concordant_midrange
sub-01:ses-S1:PVT:120:1,sub-01,ses-S1,PVT,0.47602739726027393,0.34738372093023256,concordant_midrange
sub-01:ses-S1:PVT:120:2,sub-01,ses-S1,PVT,0.4942922374429224,0.684593023255814,concordant_midrange
sub-01:ses-S1:PVT:120:3,sub-01,ses-S1,PVT,0.6267123287671234,0.44622093023255816,concordant_midrange
sub-01:ses-S1:PVT:120:4,sub-01,ses-S1,PVT,0.41894977168949765,0.4934593023255814,concordant_midrange
sub-01:ses-S1:Flanker:120:0,sub-01,ses-S1,Flanker,0.40464985994397756,0.313953488372093,concordant_midrange
sub-01:ses-S1:Flanker:120:1,sub-01,ses-S1,Flanker,0.5929971988795517,0.313953488372093,concordant_midrange
sub-01:ses-S1:Flanker:120:2,sub-01,ses-S1,Flanker,0.38565826330532216,0.3604651162790698,concordant_midrange
sub-01:ses-S1:Flanker:120:3,sub-01,ses-S1,Flanker,0.6084033613445378,0.37790697674418605,concordant_midrange
sub-01:ses-S1:Flanker:120:4,sub-01,ses-S1,Flanker,0.41159663865546214,0.4433139534883721,concordant_midrange
sub-01:ses-S1:NBack0:120:0,sub-01,ses-S1,NBack0,0.7912735849056604,0.41569767441860467,concordant_midrange
sub-01:ses-S1:NBack0:120:1,sub-01,ses-S1,NBack0,0.7075471698113208,0.44040697674418605,concordant_midrange
sub-01:ses-S1:NBack0:120:2,sub-01,ses-S1,NBack0,0.6132075471698113,0.42005813953488375,concordant_midrange
sub-01:ses-S1:NBack1:120:0,sub-01,ses-S1,NBack1,0.7264150943396227,0.40406976744186046,concordant_midrange
sub-01:ses-S1:NBack1:120:1,sub-01,ses-S1,NBack1,0.5318396226415095,0.5319767441860466,concordant_midrange
sub-01:ses-S1:NBack1:120:2,sub-01,ses-S1,NBack1,0.6179245283018868,0.47529069767441856,concordant_midrange
sub-01:ses-S1:NBack2:120:0,sub-01,ses-S1,NBack2,0.38915094339622647,0.4840116279069767,concordant_midrange
sub-01:ses-S1:NBack2:120:1,sub-01,ses-S1,NBack2,0.35774183887391436,0.43459302325581395,concordant_midrange
sub-01:ses-S1:NBack2:120:2,sub-01,ses-S1,NBack2,0.4229934112009584,0.5188953488372092,concordant_midrange
sub-01:ses-S1:MATBEasy:120:0,sub-01,ses-S1,MATBEasy,0.5259259259259259,0.5813953488372092,concordant_midrange
sub-01:ses-S1:MATBEasy:120:1,sub-01,ses-S1,MATBEasy,0.8037037037037037,0.7427325581395349,effective_cognition_elevated_autonomic_load
sub-01:ses-S1:MATBMedium:120:0,sub-01,ses-S1,MATBMedium,0.45972222222222225,0.7267441860465116,concordant_midrange
sub-01:ses-S1:MATBMedium:120:1,sub-01,ses-S1,MATBMedium,0.5888888888888889,0.7805232558139534,concordant_midrange
sub-01:ses-S1:MATBDifficult:120:0,sub-01,ses-S1,MATBDifficult,0.3458333333333333,0.6671511627906976,concordant_midrange
sub-01:ses-S1:MATBDifficult:120:1,sub-01,ses-S1,MATBDifficult,0.2013888888888889,0.7180232558139534,concordant_midrange
sub-01:ses-S2:PVT:120:0,sub-01,ses-S2,PVT,0.6278538812785388,0.5058139534883721,concordant_midrange
sub-01:ses-S2:PVT:120:1,sub-01,ses-S2,PVT,0.5513698630136986,0.3299418604651163,concordant_midrange
sub-01:ses-S2:PVT:120:2,sub-01,ses-S2,PVT,0.40410958904109595,0.46947674418604646,concordant_midrange
sub-01:ses-S2:PVT:120:3,sub-01,ses-S2,PVT,0.550228310502283,0.6831395348837209,concordant_midrange
sub-01:ses-S2:PVT:120:4,sub-01,ses-S2,PVT,0.3664383561643836,0.438953488372093,concordant_midrange
sub-01:ses-S2:Flanker:120:0,sub-01,ses-S2,Flanker,0.39355742296918766,0.37209302325581395,concordant_midrange
sub-01:ses-S2:Flanker:120:1,sub-01,ses-S2,Flanker,0.34980392156862744,0.5072674418604651,concordant_midrange
sub-01:ses-S2:Flanker:120:2,sub-01,ses-S2,Flanker,0.47445378151260503,0.622093023255814,concordant_midrange
sub-01:ses-S2:Flanker:120:3,sub-01,ses-S2,Flanker,0.38341736694677875,0.5436046511627907,concordant_midrange
sub-01:ses-S2:Flanker:120:4,sub-01,ses-S2,Flanker,0.5959103641456582,0.5145348837209303,concordant_midrange
sub-01:ses-S2:NBack0:120:0,sub-01,ses-S2,NBack0,0.7641509433962265,0.4011627906976744,concordant_midrange
sub-01:ses-S2:NBack0:120:1,sub-01,ses-S2,NBack0,0.5707547169811321,0.4476744186046512,concordant_midrange
sub-01:ses-S2:NBack0:120:2,sub-01,ses-S2,NBack0,0.43321353698712195,0.5421511627906976,concordant_midrange
sub-01:ses-S2:NBack1:120:0,sub-01,ses-S2,NBack1,0.4544399520814615,0.5770348837209303,concordant_midrange
sub-01:ses-S2:NBack1:120:1,sub-01,ses-S2,NBack1,0.3687481281820904,0.5494186046511628,concordant_midrange
sub-01:ses-S2:NBack1:120:2,sub-01,ses-S2,NBack1,0.5047169811320755,0.40552325581395354,concordant_midrange
sub-01:ses-S2:NBack2:120:0,sub-01,ses-S2,NBack2,0.3089997005091345,0.5537790697674418,concordant_midrange
sub-01:ses-S2:NBack2:120:1,sub-01,ses-S2,NBack2,0.3412324049116502,0.5770348837209303,concordant_midrange
sub-01:ses-S2:NBack2:120:2,sub-01,ses-S2,NBack2,0.3601003294399521,0.6380813953488371,concordant_midrange
sub-01:ses-S2:MATBEasy:120:0,sub-01,ses-S2,MATBEasy,0.6555555555555556,0.8066860465116279,concordant_midrange
sub-01:ses-S2:MATBEasy:120:1,sub-01,ses-S2,MATBEasy,0.9074074074074074,0.751453488372093,effective_cognition_elevated_autonomic_load
sub-01:ses-S2:MATBMedium:120:0,sub-01,ses-S2,MATBMedium,0.6555555555555556,0.5566860465116279,concordant_midrange
sub-01:ses-S2:MATBMedium:120:1,sub-01,ses-S2,MATBMedium,0.6111111111111112,0.5247093023255813,concordant_midrange
sub-01:ses-S2:MATBDifficult:120:0,sub-01,ses-S2,MATBDifficult,0.3763888888888889,0.7848837209302326,concordant_midrange
sub-01:ses-S2:MATBDifficult:120:1,sub-01,ses-S2,MATBDifficult,0.24722222222222223,0.8284883720930233,concordant_midrange
sub-01:ses-S3:PVT:120:0,sub-01,ses-S3,PVT,0.6278538812785388,0.8415697674418605,concordant_midrange
sub-01:ses-S3:PVT:120:1,sub-01,ses-S3,PVT,0.550228310502283,0.813953488372093,concordant_midrange
sub-01:ses-S3:PVT:120:2,sub-01,ses-S3,PVT,0.44977168949771684,0.8880813953488372,concordant_midrange
sub-01:ses-S3:PVT:120:3,sub-01,ses-S3,PVT,0.5833333333333334,0.8561046511627908,concordant_midrange
sub-01:ses-S3:PVT:120:4,sub-01,ses-S3,PVT,0.40525114155251146,0.8081395348837209,concordant_midrange
sub-01:ses-S3:Flanker:120:0,sub-01,ses-S3,Flanker,0.3942857142857143,0.9273255813953489,fast_error_prone_elevated_activation
sub-01:ses-S3:Flanker:120:1,sub-01,ses-S3,Flanker,0.4200560224089636,0.9811046511627907,concordant_midrange
sub-01:ses-S3:Flanker:120:2,sub-01,ses-S3,Flanker,0.4727731092436975,0.9854651162790697,fast_error_prone_elevated_activation
sub-01:ses-S3:Flanker:120:3,sub-01,ses-S3,Flanker,0.365266106442577,0.9229651162790697,fast_error_prone_elevated_activation
sub-01:ses-S3:Flanker:120:4,sub-01,ses-S3,Flanker,0.6266666666666667,0.9723837209302326,concordant_midrange
sub-01:ses-S3:NBack0:120:0,sub-01,ses-S3,NBack0,0.5456349206349206,0.9694767441860466,concordant_midrange
sub-01:ses-S3:NBack0:120:1,sub-01,ses-S3,NBack0,0.7995283018867925,0.9578488372093024,effective_cognition_elevated_autonomic_load
sub-01:ses-S3:NBack1:120:0,sub-01,ses-S3,NBack1,0.7523584905660378,0.8517441860465116,effective_cognition_elevated_autonomic_load
sub-01:ses-S3:NBack1:120:1,sub-01,ses-S3,NBack1,0.6863207547169812,0.9098837209302326,effective_cognition_elevated_autonomic_load
sub-01:ses-S3:NBack2:120:0,sub-01,ses-S3,NBack2,0.6273584905660378,0.9956395348837209,concordant_midrange
sub-01:ses-S3:NBack2:120:1,sub-01,ses-S3,NBack2,0.3388739143456125,0.9825581395348837,concordant_midrange
sub-01:ses-S3:MATBEasy:120:0,sub-01,ses-S3,MATBEasy,0.7703703703703703,0.9767441860465116,effective_cognition_elevated_autonomic_load
sub-01:ses-S3:MATBEasy:120:1,sub-01,ses-S3,MATBEasy,0.9666666666666667,0.9927325581395349,effective_cognition_elevated_autonomic_load
sub-01:ses-S3:MATBMedium:120:0,sub-01,ses-S3,MATBMedium,0.7416666666666667,0.936046511627907,effective_cognition_elevated_autonomic_load
sub-01:ses-S3:MATBMedium:120:1,sub-01,ses-S3,MATBMedium,0.7138888888888889,0.9534883720930233,effective_cognition_elevated_autonomic_load
sub-01:ses-S3:MATBDifficult:120:0,sub-01,ses-S3,MATBDifficult,0.35694444444444445,0.933139534883721,concordant_midrange
sub-01:ses-S3:MATBDifficult:120:1,sub-01,ses-S3,MATBDifficult,0.2763888888888889,0.9651162790697674,concordant_midrange
