participant_id,session_id,task,sampling_rate_hz,ecg_channel,duration_seconds,n_annotations,n_behavioral_trials,primary_r_peaks,sensitivity_r_peaks,detector_concordance,detector_unmatched_rate
sub-01,ses-S1,PVT,500.0,ECG1,612.12,271,90,740,740,1.0,0.0
sub-01,ses-S1,Flanker,500.0,ECG1,606.726,482,120,722,723,0.9986168741355465,0.0013831258644536
sub-01,ses-S1,NBack0,500.0,ECG1,396.576,202,144,477,477,0.9958071278825996,0.0041928721174003
sub-01,ses-S1,NBack1,500.0,ECG1,411.316,197,144,498,499,0.997995991983968,0.002004008016032
sub-01,ses-S1,NBack2,500.0,ECG1,394.81,207,144,480,480,1.0,0.0
sub-01,ses-S1,MATBEasy,500.0,ECG1,299.456,0,0,369,370,0.9972972972972972,0.0027027027027026
sub-01,ses-S1,MATBMedium,500.0,ECG1,299.134,0,0,377,377,1.0,0.0
sub-01,ses-S1,MATBDifficult,500.0,ECG1,299.484,0,0,377,378,0.9973544973544972,0.0026455026455026
sub-01,ses-S2,PVT,500.0,ECG1,621.412,272,90,749,749,1.0,0.0
sub-01,ses-S2,Flanker,500.0,ECG1,604.438,481,120,731,733,0.9959072305593452,0.0040927694406548
sub-01,ses-S2,NBack0,500.0,ECG1,388.616,204,144,470,470,0.997872340425532,0.002127659574468
sub-01,ses-S2,NBack1,500.0,ECG1,396.126,201,144,481,481,0.997920997920998,0.002079002079002
sub-01,ses-S2,NBack2,500.0,ECG1,394.99,208,144,490,490,1.0,0.0
sub-01,ses-S2,MATBEasy,500.0,ECG1,299.404,0,0,384,384,0.9973958333333334,0.0026041666666666
sub-01,ses-S2,MATBMedium,500.0,ECG1,299.444,0,0,363,363,1.0,0.0
sub-01,ses-S2,MATBDifficult,500.0,ECG1,299.338,0,0,392,392,1.0,0.0
sub-01,ses-S3,PVT,500.0,ECG1,647.592,272,90,938,938,1.0,0.0
sub-01,ses-S3,Flanker,500.0,ECG1,606.662,482,120,945,946,0.9989429175475688,0.0010570824524313
sub-01,ses-S3,NBack0,500.0,ECG1,316.376,202,144,501,501,0.998003992015968,0.0019960079840319
sub-01,ses-S3,NBack1,500.0,ECG1,310.984,198,144,452,452,0.9977876106194692,0.0022123893805309
sub-01,ses-S3,NBack2,500.0,ECG1,321.708,210,144,520,521,0.9980806142034548,0.0019193857965451
sub-01,ses-S3,MATBEasy,500.0,ECG1,299.26,0,0,466,466,0.9978540772532188,0.0021459227467811
sub-01,ses-S3,MATBMedium,500.0,ECG1,299.554,0,0,431,431,1.0,0.0
sub-01,ses-S3,MATBDifficult,500.0,ECG1,299.368,0,0,457,457,0.9978118161925602,0.0021881838074397
sub-02,ses-S1,PVT,500.0,ECG1,637.936,271,90,591,591,0.9932318104906938,0.0067681895093062
sub-02,ses-S1,Flanker,500.0,ECG1,605.312,482,120,566,564,0.9823321554770318,0.0176678445229682
sub-02,ses-S1,NBack0,500.0,ECG1,402.998,203,144,386,385,0.9948186528497408,0.005181347150259
sub-02,ses-S1,NBack1,500.0,ECG1,391.298,198,144,371,372,0.989247311827957,0.010752688172043
sub-02,ses-S1,NBack2,500.0,ECG1,402.598,208,144,412,412,0.9902912621359224,0.0097087378640776
sub-02,ses-S1,MATBEasy,500.0,ECG1,299.452,0,0,289,289,0.9930795847750864,0.0069204152249134
sub-02,ses-S1,MATBMedium,500.0,ECG1,299.476,0,0,307,306,0.98371335504886,0.01628664495114
sub-02,ses-S1,MATBDifficult,500.0,ECG1,299.164,0,0,290,290,0.986206896551724,0.0137931034482758
sub-02,ses-S2,PVT,500.0,ECG1,678.01,272,90,694,695,0.9870503597122302,0.0129496402877697
sub-02,ses-S2,Flanker,500.0,ECG1,605.448,482,120,591,588,0.9847715736040608,0.0152284263959391
sub-02,ses-S2,NBack0,500.0,ECG1,331.034,203,144,337,337,0.9851632047477744,0.0148367952522254
sub-02,ses-S2,NBack1,500.0,ECG1,325.014,201,144,349,349,0.997134670487106,0.0028653295128939
sub-02,ses-S2,NBack2,500.0,ECG1,323.424,212,144,358,358,0.988826815642458,0.0111731843575418
sub-02,ses-S2,MATBEasy,500.0,ECG1,299.252,0,0,322,321,0.9906832298136646,0.0093167701863353
sub-02,ses-S2,MATBMedium,500.0,ECG1,299.13,0,0,295,295,0.9898305084745764,0.0101694915254236
sub-02,ses-S2,MATBDifficult,500.0,ECG1,299.45,0,0,330,330,0.990909090909091,0.009090909090909
sub-02,ses-S3,PVT,500.0,ECG1,609.804,271,90,594,594,0.9865319865319864,0.0134680134680135
sub-02,ses-S3,Flanker,500.0,ECG1,605.558,481,120,569,567,0.9771528998242532,0.0228471001757468
sub-02,ses-S3,NBack0,500.0,ECG1,322.598,203,144,330,329,0.9848484848484848,0.0151515151515151
sub-02,ses-S3,NBack1,500.0,ECG1,311.832,202,144,290,291,0.979381443298969,0.0206185567010309
sub-02,ses-S3,NBack2,500.0,ECG1,320.848,209,144,331,329,0.9818731117824774,0.0181268882175226
sub-02,ses-S3,MATBEasy,500.0,ECG1,299.36,0,0,310,310,0.9935483870967742,0.0064516129032258
sub-02,ses-S3,MATBMedium,500.0,ECG1,299.27,0,0,313,313,0.9904153354632588,0.0095846645367412
sub-02,ses-S3,MATBDifficult,500.0,ECG1,299.348,0,0,306,305,0.9803921568627452,0.0196078431372549
sub-03,ses-S1,PVT,500.0,ECG1,642.622,271,90,664,664,0.9984939759036144,0.0015060240963855
sub-03,ses-S1,Flanker,500.0,ECG1,604.778,482,120,604,604,0.9966887417218544,0.0033112582781457
sub-03,ses-S1,NBack0,500.0,ECG1,410.648,202,144,429,429,0.9976689976689976,0.0023310023310023
sub-03,ses-S1,NBack1,500.0,ECG1,394.744,200,144,395,396,0.9974747474747476,0.0025252525252524
sub-03,ses-S1,NBack2,500.0,ECG1,411.636,210,144,432,433,0.9976905311778292,0.0023094688221708
sub-03,ses-S1,MATBEasy,500.0,ECG1,299.08,0,0,304,304,1.0,0.0
sub-03,ses-S1,MATBMedium,500.0,ECG1,299.006,0,0,316,316,0.9968354430379748,0.0031645569620253
sub-03,ses-S1,MATBDifficult,500.0,ECG1,299.476,0,0,341,341,0.9941348973607038,0.0058651026392961
sub-03,ses-S2,PVT,500.0,ECG1,651.066,271,90,630,631,0.9904912836767036,0.0095087163232963
sub-03,ses-S2,Flanker,500.0,ECG1,602.598,482,120,607,606,0.9901153212520593,0.0098846787479407
sub-03,ses-S2,NBack0,500.0,ECG1,316.568,203,144,307,307,0.996742671009772,0.003257328990228
sub-03,ses-S2,NBack1,500.0,ECG1,318.752,199,144,316,316,0.9968354430379748,0.0031645569620253
sub-03,ses-S2,NBack2,500.0,ECG1,328.884,208,144,344,344,0.9796511627906976,0.0203488372093023
sub-03,ses-S2,MATBEasy,500.0,ECG1,299.184,0,0,294,294,0.9727891156462584,0.0272108843537415
sub-03,ses-S2,MATBMedium,500.0,ECG1,299.072,0,0,316,317,0.9905362776025236,0.0094637223974763
sub-03,ses-S2,MATBDifficult,500.0,ECG1,299.5,0,0,318,318,0.9937106918238994,0.0062893081761006
sub-03,ses-S3,PVT,500.0,ECG1,626.47,271,90,608,608,0.9983552631578948,0.0016447368421053
sub-03,ses-S3,Flanker,500.0,ECG1,607.356,482,120,606,607,0.99835255354201,0.00164744645799
sub-03,ses-S3,NBack0,500.0,ECG1,315.95,203,144,313,314,0.9968152866242038,0.0031847133757961
sub-03,ses-S3,NBack1,500.0,ECG1,317.704,200,144,319,319,0.9968652037617556,0.0031347962382445
sub-03,ses-S3,NBack2,500.0,ECG1,329.166,209,144,337,337,1.0,0.0
sub-03,ses-S3,MATBEasy,500.0,ECG1,299.278,0,0,306,306,0.9967320261437908,0.0032679738562091
sub-03,ses-S3,MATBMedium,500.0,ECG1,299.268,0,0,304,304,1.0,0.0
sub-03,ses-S3,MATBDifficult,500.0,ECG1,299.082,0,0,305,306,0.9967320261437908,0.0032679738562091
sub-04,ses-S1,PVT,500.0,ECG1,596.17,272,90,647,648,0.9969135802469136,0.0030864197530864
sub-04,ses-S1,Flanker,500.0,ECG1,603.998,482,120,673,674,0.9970326409495548,0.002967359050445
sub-04,ses-S1,NBack0,500.0,ECG1,396.748,204,144,421,421,1.0,0.0
sub-04,ses-S1,NBack1,500.0,ECG1,393.382,198,144,404,405,0.9975308641975308,0.0024691358024691
sub-04,ses-S1,NBack2,500.0,ECG1,414.18,204,144,474,475,0.9957894736842106,0.0042105263157894
sub-04,ses-S1,MATBEasy,500.0,ECG1,299.5,0,0,387,387,1.0,0.0
sub-04,ses-S1,MATBMedium,500.0,ECG1,299.432,0,0,356,356,1.0,0.0
sub-04,ses-S1,MATBDifficult,500.0,ECG1,299.25,0,0,399,399,0.9974937343358397,0.0025062656641604
sub-04,ses-S2,PVT,500.0,ECG1,603.142,271,90,820,820,1.0,0.0
sub-04,ses-S2,Flanker,500.0,ECG1,604.83,482,120,833,834,0.998800959232614,0.001199040767386
sub-04,ses-S2,NBack0,500.0,ECG1,316.976,202,144,396,396,0.9974747474747476,0.0025252525252524
sub-04,ses-S2,NBack1,500.0,ECG1,319.446,199,144,425,425,0.9976470588235294,0.0023529411764705
sub-04,ses-S2,NBack2,500.0,ECG1,319.678,208,144,450,451,0.9977827050997784,0.0022172949002217
sub-04,ses-S2,MATBEasy,500.0,ECG1,299.288,0,0,414,414,1.0,0.0
sub-04,ses-S2,MATBMedium,500.0,ECG1,299.11,0,0,436,437,0.9954233409610984,0.0045766590389015
sub-04,ses-S2,MATBDifficult,500.0,ECG1,299.446,0,0,462,462,0.997835497835498,0.0021645021645021
sub-04,ses-S3,PVT,500.0,ECG1,655.712,272,90,819,819,1.0,0.0
sub-04,ses-S3,Flanker,500.0,ECG1,607.196,480,120,729,730,0.9986301369863012,0.0013698630136986
sub-04,ses-S3,NBack0,500.0,ECG1,311.944,202,144,365,366,0.9972677595628416,0.0027322404371584
sub-04,ses-S3,NBack1,500.0,ECG1,316.348,199,144,380,379,0.9947368421052633,0.0052631578947368
sub-04,ses-S3,NBack2,500.0,ECG1,316.932,207,144,402,402,1.0,0.0
sub-04,ses-S3,MATBEasy,500.0,ECG1,299.238,0,0,394,395,0.9974683544303796,0.0025316455696202
sub-04,ses-S3,MATBMedium,500.0,ECG1,299.422,0,0,388,388,0.9974226804123713,0.0025773195876288
sub-04,ses-S3,MATBDifficult,500.0,ECG1,299.248,0,0,407,407,1.0,0.0
sub-05,ses-S1,PVT,500.0,ECG1,627.494,271,90,759,760,0.9986842105263158,0.0013157894736841
sub-05,ses-S1,Flanker,500.0,ECG1,607.42,481,120,690,690,0.9971014492753624,0.0028985507246376
sub-05,ses-S1,NBack0,500.0,ECG1,332.414,202,144,381,381,1.0,0.0
sub-05,ses-S1,NBack1,500.0,ECG1,363.03,199,144,423,424,0.9952830188679244,0.0047169811320755
