task,window_label,analysis_role,n_windows,n_participants,quality_pass_rate,detector_concordance,detector_disagreement_rate,rr_correction_rate,valid_rr_rate
Flanker,10,replication,900,5,0.97,1.0,0.11444444444444445,0.0055342312008978675,1.0
Flanker,120,extended,75,5,1.0,1.0,0.21333333333333335,0.003970025853540313,1.0
Flanker,180,extended,45,5,0.9777777777777777,0.9957264957264957,0.3111111111111111,0.003756761558813382,1.0
Flanker,60,extended,150,5,0.96,1.0,0.32,0.004141918503909528,1.0
Flanker,full,benchmark,15,5,1.0,0.9971014492753624,0.2,0.0036939596682137726,1.0
MATBDifficult,10,replication,435,5,0.9862068965517241,1.0,0.15172413793103448,0.0022007430628120284,1.0
MATBDifficult,120,extended,30,5,1.0,0.9934819532908705,0.23333333333333334,0.0018273752842303652,1.0
MATBDifficult,180,extended,15,5,1.0,0.9954337899543378,0.13333333333333333,0.001701198978281276,1.0
MATBDifficult,60,extended,60,5,1.0,1.0,0.36666666666666664,0.0018345300719575792,1.0
MATBDifficult,full,benchmark,15,5,1.0,0.9972527472527473,0.13333333333333333,0.0016756601614351702,1.0
MATBEasy,10,replication,435,5,0.9908045977011494,1.0,0.15402298850574714,0.0015766864042726114,1.0
MATBEasy,120,extended,30,5,1.0,0.9943783068783069,0.2,0.0013110643433090726,1.0
MATBEasy,180,extended,15,5,1.0,0.9955947136563876,0.2,0.0017746214409407597,1.0
MATBEasy,60,extended,60,5,1.0,1.0,0.35,0.0013085775790693823,1.0
MATBEasy,full,benchmark,15,5,1.0,0.9973958333333334,0.06666666666666667,0.0010573819247870723,1.0
MATBMedium,10,replication,435,5,0.9885057471264368,1.0,0.12413793103448276,0.0016393823290375012,1.0
MATBMedium,120,extended,30,5,1.0,1.0,0.23333333333333334,0.0013573065397496915,1.0
MATBMedium,180,extended,15,5,1.0,0.9957264957264957,0.2,0.0014261880928547596,1.0
MATBMedium,60,extended,60,5,1.0,1.0,0.2833333333333333,0.0016305305834655385,1.0
MATBMedium,full,benchmark,15,5,1.0,0.9974226804123711,0.13333333333333333,0.0008630802748449807,1.0
NBack0,10,replication,516,5,0.9709302325581395,1.0,0.11046511627906977,0.004953116435674576,1.0
NBack0,120,extended,35,5,1.0,0.9933774834437086,0.11428571428571428,0.002874893978990089,1.0
NBack0,180,extended,20,5,1.0,0.9953808406229998,0.1,0.0038831929251682933,1.0
NBack0,60,extended,80,5,0.975,1.0,0.3125,0.0031571852320945184,1.0
NBack0,full,benchmark,15,5,1.0,0.9974747474747475,0.13333333333333333,0.002559303580216578,1.0
NBack1,10,replication,517,5,0.9671179883945842,1.0,0.10831721470019343,0.0040527761514221865,1.0
NBack1,120,extended,36,5,1.0,1.0,0.1111111111111111,0.0030382935106114907,1.0
NBack1,180,extended,21,5,1.0,0.9954337899543378,0.09523809523809523,0.002883936118920194,1.0
NBack1,60,extended,81,5,0.9753086419753086,1.0,0.24691358024691357,0.0027282856074043725,1.0
NBack1,full,benchmark,15,5,1.0,0.9974747474747475,0.13333333333333333,0.0028086107046935375,1.0
NBack2,10,replication,524,5,0.9732824427480916,1.0,0.08587786259541985,0.003354448774296103,1.0
NBack2,120,extended,35,5,1.0,1.0,0.2,0.002029422895704169,1.0
NBack2,180,extended,20,5,1.0,0.9982876712328768,0.2,0.001539003759398496,1.0
NBack2,60,extended,80,5,0.9875,1.0,0.225,0.002189945344140772,1.0
NBack2,full,benchmark,15,5,1.0,0.9977628635346756,0.2,0.0017051531068014352,1.0
PVT,10,replication,937,5,0.9701173959445037,1.0,0.10032017075773746,0.0041052775044237155,1.0
PVT,120,extended,73,5,1.0,1.0,0.1643835616438356,0.0021098159287531435,1.0
PVT,180,extended,45,5,1.0,1.0,0.17777777777777778,0.0021328115238793983,1.0
PVT,60,extended,149,5,0.9932885906040269,1.0,0.2684563758389262,0.00216586498394629,1.0
PVT,full,benchmark,15,5,1.0,0.9984939759036144,0.13333333333333333,0.0021102426182296186,1.0
