window_seconds,feature,n_blocks,availability_rate,spearman_vs_full_block
60,mean_hr_bpm,120,1.0,0.9993124522536287
60,mean_nn_ms,120,1.0,0.9992360580595874
60,log_rmssd,120,1.0,0.9979234669074238
60,sdnn_ms,120,1.0,0.9593582887700534
60,cvnn,120,1.0,0.9389888186679629
60,pnn20,120,1.0,0.9970813894754063
60,pnn50,120,1.0,0.9975414959372177
60,sd1_ms,120,1.0,0.9983609972914785
60,sd2_ms,120,1.0,0.9447947774150982
60,sd1_sd2,120,1.0,0.7385443433571774
60,hr_slope_bpm_per_min,120,1.0,0.6109243697478991
60,nn_slope_ms_per_min,120,1.0,0.5569761789013125
60,hrv_dfa_alpha1,120,1.0,0.803639141607056
60,hrv_lag1,120,1.0,0.7316480311132717
60,hrv_roughness,120,1.0,0.763761372317522
60,hrv_sign_change,120,1.0,0.9944770374295102
60,hrv_perm_entropy3,120,1.0,0.9467810264601706
60,hrv_difference_entropy,120,1.0,0.7382943259948607
60,hrv_sample_entropy,120,1.0,0.6745885130911868
120,mean_hr_bpm,120,1.0,0.9986457392874503
120,mean_nn_ms,120,1.0,0.9986179595805263
120,log_rmssd,120,1.0,0.9977081741787622
120,sdnn_ms,120,1.0,0.9798597124800333
120,cvnn,120,1.0,0.9703937773456488
120,pnn20,120,1.0,0.9942686892658384
120,pnn50,120,1.0,0.9965344815612194
120,sd1_ms,120,1.0,0.9977012292520314
120,sd2_ms,120,1.0,0.9741718174873254
120,sd1_sd2,120,1.0,0.9151052156399748
120,hr_slope_bpm_per_min,120,1.0,0.6834641294534342
120,nn_slope_ms_per_min,120,1.0,0.650802139037433
120,hrv_dfa_alpha1,120,1.0,0.9058684630877142
120,hrv_lag1,120,1.0,0.906986596291409
120,hrv_roughness,120,1.0,0.9216820612542538
120,hrv_sign_change,120,1.0,0.9904420279930686
120,hrv_perm_entropy3,120,1.0,0.9627821376484476
120,hrv_difference_entropy,120,1.0,0.8675880269463156
120,hrv_sample_entropy,120,1.0,0.8211750816028889
180,mean_hr_bpm,120,1.0,0.9958469338148481
180,mean_nn_ms,120,1.0,0.9959024932286963
180,log_rmssd,120,1.0,0.9922911313285644
180,sdnn_ms,120,1.0,0.9741787624140563
180,cvnn,120,1.0,0.956878949927078
180,pnn20,120,1.0,0.9831981652353547
180,pnn50,120,1.0,0.9905965365589848
180,sd1_ms,120,1.0,0.992777276199736
180,sd2_ms,120,1.0,0.9621154246822695
180,sd1_sd2,120,1.0,0.9089797902632127
180,hr_slope_bpm_per_min,120,1.0,0.7335995555246891
180,nn_slope_ms_per_min,120,1.0,0.7032363358566567
180,hrv_dfa_alpha1,120,1.0,0.8440030557677616
180,hrv_lag1,120,1.0,0.9019029099243002
180,hrv_roughness,120,1.0,0.9164803111327176
180,hrv_sign_change,120,1.0,0.9799273906664375
180,hrv_perm_entropy3,120,1.0,0.9512188346412944
180,hrv_difference_entropy,120,1.0,0.8569206194874642
180,hrv_sample_entropy,120,1.0,0.8425044143779876
