feature,status,n_windows,n_participants
mean_hr_bpm,participant_fixed_effect_fallback,344,5
mean_nn_ms,participant_fixed_effect_fallback,344,5
log_rmssd,participant_fixed_effect_fallback,344,5
sdnn_ms,participant_fixed_effect_fallback,344,5
cvnn,participant_fixed_effect_fallback,344,5
pnn20,participant_fixed_effect_fallback,344,5
pnn50,participant_fixed_effect_fallback,344,5
sd1_sd2,participant_fixed_effect_fallback,344,5
hr_slope_bpm_per_min,participant_fixed_effect_fallback,344,5
nn_slope_ms_per_min,participant_fixed_effect_fallback,344,5
hrv_dfa_alpha1,participant_fixed_effect_fallback,344,5
hrv_lag1,participant_fixed_effect_fallback,344,5
hrv_roughness,participant_fixed_effect_fallback,344,5
hrv_sign_change,participant_fixed_effect_fallback,344,5
hrv_perm_entropy3,participant_fixed_effect_fallback,344,5
hrv_difference_entropy,participant_fixed_effect_fallback,344,5
hrv_sample_entropy,participant_fixed_effect_fallback,344,5
pvt_reciprocal_rt,participant_fixed_effect_fallback,73,5
pvt_median_rt_ms,participant_fixed_effect_fallback,73,5
pvt_rt_cv,participant_fixed_effect_fallback,73,5
pvt_lapse_rate,participant_fixed_effect_fallback,73,5
pvt_anticipation_rate,participant_fixed_effect_fallback,73,5
pvt_rt_drift_ms_per_trial,participant_fixed_effect_fallback,73,5
flanker_accuracy,participant_fixed_effect_fallback,75,5
flanker_median_rt_ms,participant_fixed_effect_fallback,75,5
flanker_rt_cv,participant_fixed_effect_fallback,75,5
flanker_conflict_rt_cost_ms,participant_fixed_effect_fallback,75,5
flanker_conflict_accuracy_cost,participant_fixed_effect_fallback,75,5
flanker_fast_error_rate,participant_fixed_effect_fallback,75,5
flanker_post_error_adjustment_ms,participant_fixed_effect_fallback,51,5
nback_accuracy,participant_fixed_effect_fallback,106,5
nback_hit_rate,participant_fixed_effect_fallback,106,5
nback_false_alarm_rate,participant_fixed_effect_fallback,42,5
nback_dprime_proxy,participant_fixed_effect_fallback,42,5
nback_median_rt_ms,participant_fixed_effect_fallback,106,5
nback_throughput,participant_fixed_effect_fallback,106,5
matb_tracking_error,participant_fixed_effect_fallback,90,5
matb_monitoring_rt,participant_fixed_effect_fallback,90,5
matb_resource_error,participant_fixed_effect_fallback,60,5
matb_efficacy_raw,participant_fixed_effect_fallback,90,5
