feature,component,loading,window_seconds
mean_hr_bpm,1,-0.4180716120684265,120
mean_nn_ms,1,0.4163059944865515,120
log_rmssd,1,0.44644045665807974,120
sdnn_ms,1,0.19360387359478556,120
cvnn,1,0.05251868672654621,120
pnn20,1,0.446182820489403,120
pnn50,1,0.41864944233637896,120
sd1_sd2,1,0.19242880534414739,120
hr_slope_bpm_per_min,1,-0.02116275189501726,120
nn_slope_ms_per_min,1,0.023076403689116794,120
mean_hr_bpm,2,0.11068129893383861,120
mean_nn_ms,2,-0.1366741278544545,120
log_rmssd,2,0.10551356925661252,120
sdnn_ms,2,0.5603652051205361,120
cvnn,2,0.6121228133661855,120
pnn20,2,-0.006587607509769642,120
pnn50,2,0.044384484269223964,120
sd1_sd2,2,-0.49900517427294244,120
hr_slope_bpm_per_min,2,0.10324703540020057,120
nn_slope_ms_per_min,2,-0.08691216545748984,120
mean_hr_bpm,3,0.05114223950259074,120
mean_nn_ms,3,-0.05494639012210153,120
log_rmssd,3,0.0233816726915366,120
sdnn_ms,3,0.060019720708630916,120
cvnn,3,0.06818962461344465,120
pnn20,3,-0.008568184052772683,120
pnn50,3,0.0175708267065357,120
sd1_sd2,3,-0.08242903030409401,120
hr_slope_bpm_per_min,3,-0.698061413345653,120
nn_slope_ms_per_min,3,0.7007853034891445,120
