feature,between_person_variance_proxy,within_person_variance_proxy,between_fraction,within_fraction,n_windows,n_participants
mean_hr_bpm,72.09459168293148,174.20024538416257,0.29271661777990066,0.7072833822200993,2625,11
mean_nn_ms,8871.264506487716,18835.988079278944,0.32017842545113706,0.6798215745488628,2625,11
log_rmssd,0.10206050167659363,0.13274325271337373,0.4346629888510609,0.5653370111489391,2625,11
sdnn_ms,172.13682923583036,773.2006960439733,0.1820903377181402,0.8179096622818597,2625,11
cvnn,0.0001352910034430216,0.001003795859830802,0.1187714544035604,0.8812285455964396,2625,11
pnn20,0.01560731462913954,0.024647110260761447,0.3877167459683444,0.6122832540316557,2625,11
pnn50,0.0106644896851947,0.013530441257018062,0.44077371870437637,0.5592262812956236,2625,11
sd1_sd2,0.005621816629641262,0.029759096194896664,0.15889405277701968,0.8411059472229804,2625,11
hr_slope_bpm_per_min,0.09797981937288189,23.03340726660764,0.00423579524257175,0.9957642047574283,2625,11
nn_slope_ms_per_min,13.575958092488484,2412.6098836846736,0.005595596948395429,0.9944044030516045,2625,11
