feature,component,loading,explained_variance_ratio,window_seconds
mean_hr_bpm,1,-0.4180716120684265,0.4389366531534214,120
mean_nn_ms,1,0.4163059944865515,0.4389366531534214,120
log_rmssd,1,0.44644045665807974,0.4389366531534214,120
sdnn_ms,1,0.19360387359478556,0.4389366531534214,120
cvnn,1,0.05251868672654621,0.4389366531534214,120
pnn20,1,0.446182820489403,0.4389366531534214,120
pnn50,1,0.41864944233637896,0.4389366531534214,120
sd1_sd2,1,0.19242880534414739,0.4389366531534214,120
hr_slope_bpm_per_min,1,-0.02116275189501726,0.4389366531534214,120
nn_slope_ms_per_min,1,0.023076403689116794,0.4389366531534214,120
mean_hr_bpm,2,0.11068129893383861,0.2513341946532988,120
mean_nn_ms,2,-0.1366741278544545,0.2513341946532988,120
log_rmssd,2,0.10551356925661252,0.2513341946532988,120
sdnn_ms,2,0.5603652051205361,0.2513341946532988,120
cvnn,2,0.6121228133661855,0.2513341946532988,120
pnn20,2,-0.006587607509769642,0.2513341946532988,120
pnn50,2,0.044384484269223964,0.2513341946532988,120
sd1_sd2,2,-0.49900517427294244,0.2513341946532988,120
hr_slope_bpm_per_min,2,0.10324703540020057,0.2513341946532988,120
nn_slope_ms_per_min,2,-0.08691216545748984,0.2513341946532988,120
mean_hr_bpm,3,0.05114223950259074,0.19357527971693592,120
mean_nn_ms,3,-0.05494639012210153,0.19357527971693592,120
log_rmssd,3,0.0233816726915366,0.19357527971693592,120
sdnn_ms,3,0.060019720708630916,0.19357527971693592,120
cvnn,3,0.06818962461344465,0.19357527971693592,120
pnn20,3,-0.008568184052772683,0.19357527971693592,120
pnn50,3,0.0175708267065357,0.19357527971693592,120
sd1_sd2,3,-0.08242903030409401,0.19357527971693592,120
hr_slope_bpm_per_min,3,-0.698061413345653,0.19357527971693592,120
nn_slope_ms_per_min,3,0.7007853034891445,0.19357527971693592,120
mean_hr_bpm,1,-0.4216602042094451,0.44771441803102,180
mean_nn_ms,1,0.42034422225040113,0.44771441803102,180
log_rmssd,1,0.4403348922841574,0.44771441803102,180
sdnn_ms,1,0.16795406595027104,0.44771441803102,180
cvnn,1,0.015499350807021129,0.44771441803102,180
pnn20,1,0.44459859821747305,0.44771441803102,180
pnn50,1,0.4152753502395521,0.44771441803102,180
sd1_sd2,1,0.21877899032851444,0.44771441803102,180
hr_slope_bpm_per_min,1,-0.05426050713609822,0.44771441803102,180
nn_slope_ms_per_min,1,0.04732665424295224,0.44771441803102,180
mean_hr_bpm,2,0.0885588413937993,0.24936227819078363,180
mean_nn_ms,2,-0.11230406878402995,0.24936227819078363,180
log_rmssd,2,0.12833596718886814,0.24936227819078363,180
sdnn_ms,2,0.5788487099980897,0.24936227819078363,180
cvnn,2,0.6211951739267804,0.24936227819078363,180
pnn20,2,0.008226111592540166,0.24936227819078363,180
pnn50,2,0.06371072206109862,0.24936227819078363,180
sd1_sd2,2,-0.48658251023133176,0.24936227819078363,180
hr_slope_bpm_per_min,2,0.030879388813591105,0.24936227819078363,180
nn_slope_ms_per_min,2,-0.016820617136665324,0.24936227819078363,180
mean_hr_bpm,3,0.03911965854484631,0.19225429853104486,180
mean_nn_ms,3,-0.050677506872290876,0.19225429853104486,180
log_rmssd,3,-0.01069595670342456,0.19225429853104486,180
sdnn_ms,3,0.002070282839480802,0.19225429853104486,180
cvnn,3,0.0129188987545451,0.19225429853104486,180
pnn20,3,-0.019336312568428698,0.19225429853104486,180
pnn50,3,-0.030372579089283213,0.19225429853104486,180
sd1_sd2,3,-0.038397640017395825,0.19225429853104486,180
hr_slope_bpm_per_min,3,-0.7037149779722511,0.19225429853104486,180
nn_slope_ms_per_min,3,0.705429174035924,0.19225429853104486,180
mean_hr_bpm,1,-0.4179252301972204,0.4549117992023131,300
mean_nn_ms,1,0.4165050476829899,0.4549117992023131,300
log_rmssd,1,0.44287308286306515,0.4549117992023131,300
sdnn_ms,1,0.21560734674623183,0.4549117992023131,300
cvnn,1,0.05538722509843107,0.4549117992023131,300
pnn20,1,0.4428500531197036,0.4549117992023131,300
pnn50,1,0.4179251604500385,0.4549117992023131,300
sd1_sd2,1,0.17691252664341175,0.4549117992023131,300
hr_slope_bpm_per_min,1,-0.045127330304174186,0.4549117992023131,300
nn_slope_ms_per_min,1,0.04537708353838026,0.4549117992023131,300
mean_hr_bpm,2,0.08816116952236919,0.25113660525237025,300
mean_nn_ms,2,-0.10677179206875562,0.25113660525237025,300
log_rmssd,2,0.07935344836970484,0.25113660525237025,300
sdnn_ms,2,0.537659751070371,0.25113660525237025,300
cvnn,2,0.5991898221776418,0.25113660525237025,300
pnn20,2,-0.013856140581726063,0.25113660525237025,300
pnn50,2,0.022931984382567508,0.25113660525237025,300
sd1_sd2,2,-0.5055929675630211,0.25113660525237025,300
hr_slope_bpm_per_min,2,0.18895256780602504,0.25113660525237025,300
nn_slope_ms_per_min,2,-0.18541516024092503,0.25113660525237025,300
mean_hr_bpm,3,0.06624933282602356,0.1894845707132668,300
mean_nn_ms,3,-0.07416287043479844,0.1894845707132668,300
log_rmssd,3,0.015500136314430271,0.1894845707132668,300
sdnn_ms,3,0.12134666945592888,0.1894845707132668,300
cvnn,3,0.14987613926350024,0.1894845707132668,300
pnn20,3,-0.022372582888734994,0.1894845707132668,300
pnn50,3,-0.011567938799364663,0.1894845707132668,300
sd1_sd2,3,-0.16693493618055974,0.1894845707132668,300
hr_slope_bpm_per_min,3,-0.6791196502172074,0.1894845707132668,300
nn_slope_ms_per_min,3,0.6804246079564616,0.1894845707132668,300
