excluded_participant,component,absolute_tucker_congruence
000,1,0.9998852176714942
000,2,0.9994573339894156
000,3,0.9995060654860605
002,1,0.9997685721386547
002,2,0.9988833285738027
002,3,0.9990754513224082
003,1,0.9998472439584668
003,2,0.9996768308395091
003,3,0.99982097261557
005,1,0.999379737598323
005,2,0.9987658917470319
005,3,0.9994842471013874
006,1,0.9998187952951739
006,2,0.9977329985729161
006,3,0.9978157150877639
007,1,0.9992032115687144
007,2,0.998621989801143
007,3,0.9994910565557064
008,1,0.9998625313177733
008,2,0.9993929723727412
008,3,0.999560244916402
009,1,0.9999137500031708
009,2,0.998847925487885
009,3,0.9989078976661281
010,1,0.9998876941630108
010,2,0.9994227413165572
010,3,0.9995491638988767
011,1,0.9989194625473317
011,2,0.9986802680288331
011,3,0.999271540273558
013,1,0.9999306645899803
013,2,0.9999574984530882
013,3,0.9999839523636365
