model_id,k,covariance,valid,invalid_reason,bic,aic,posterior_entropy,component_sizes,bootstrap_ari_median
Paired-Control-GMM1-diag,1,diag,True,,5914.285138495724,5886.422400096838,0.0,768,1.0
Paired-Control-GMM2-diag,2,diag,True,,5320.555943853168,5260.186677322248,0.2922429544307424,180;588,0.904599606360565
Paired-Control-GMM3-diag,3,diag,True,,5263.103637870239,5170.227843207286,0.36965746486437084,95;218;455,0.3069118263528932
Paired-Control-GMM4-diag,4,diag,True,,5197.057500806299,5071.675178011312,0.3639953306731521,96;152;252;268,0.44115632675880206
Paired-Control-GMM5-diag,5,diag,True,,5163.406005108268,5005.517154181247,0.30847983523235545,56;101;138;229;244,0.4971973989996394
Paired-Control-GMM1-full,1,full,True,,5658.113461778245,5616.319354179916,0.0,768,1.0
Paired-Control-GMM2-full,2,full,True,,5164.3304826843205,5076.0984777545145,0.28812880217569664,154;614,0.8996367839729272
Paired-Control-GMM3-full,3,full,True,,5152.681613626462,5018.0117113651795,0.39326662787804634,78;187;503,0.2980657683920737
Paired-Control-GMM4-full,4,full,True,,5130.725298866049,4949.61749927329,0.33363788714288106,51;117;202;398,0.7238788167941077
Paired-Control-GMM5-full,5,full,True,,5155.258448151368,4927.712751227132,0.3327453077691703,52;111;176;207;222,0.45807434250555246
