predictor,outcome,level,correlation,n
sart_engagement_index,task_active_efficacy,session,0.3700411235658833,768
sart_engagement_index,task_active_efficacy,between_person,0.43724166881846915,466
sart_engagement_index,task_active_efficacy,within_person,0.15632176318769714,512
sart_engagement_index,control_accuracy_index,session,0.22738043047970558,768
sart_engagement_index,control_accuracy_index,between_person,0.2877905651420394,466
sart_engagement_index,control_accuracy_index,within_person,0.1120573584040616,512
sart_engagement_index,control_speed_index,session,0.2654690474939092,768
sart_engagement_index,control_speed_index,between_person,0.2739830324317898,466
sart_engagement_index,control_speed_index,within_person,0.18207637034909718,512
sart_engagement_index,conflict_resilience_index,session,0.24593903594807257,768
sart_engagement_index,conflict_resilience_index,between_person,0.29765983692943754,466
sart_engagement_index,conflict_resilience_index,within_person,0.06299371133478188,512
sart_inhibitory_stability_index,task_active_efficacy,session,0.26829358457562885,768
sart_inhibitory_stability_index,task_active_efficacy,between_person,0.26488982811618034,466
sart_inhibitory_stability_index,task_active_efficacy,within_person,0.12807937158470303,512
sart_inhibitory_stability_index,control_accuracy_index,session,0.2470172266788105,768
sart_inhibitory_stability_index,control_accuracy_index,between_person,0.2731588597453168,466
sart_inhibitory_stability_index,control_accuracy_index,within_person,0.14102399798588983,512
sart_inhibitory_stability_index,control_speed_index,session,0.09013941480659289,768
sart_inhibitory_stability_index,control_speed_index,between_person,0.0681686691597439,466
sart_inhibitory_stability_index,control_speed_index,within_person,0.05081949982151516,512
sart_inhibitory_stability_index,conflict_resilience_index,session,0.19621317574714275,768
sart_inhibitory_stability_index,conflict_resilience_index,between_person,0.19179794326560587,466
sart_inhibitory_stability_index,conflict_resilience_index,within_person,0.05938299478906462,512
