sart_source,predictor,outcome,level,correlation,n
full_225,sart_engagement_index,task_active_efficacy,session,0.38237614720868834,744
full_225,sart_engagement_index,task_active_efficacy,between_person,0.4734676701853945,456
full_225,sart_engagement_index,task_active_efficacy,within_person,0.10241639461241489,491
full_225,sart_inhibitory_stability_index,task_active_efficacy,session,0.2728678586851185,744
full_225,sart_inhibitory_stability_index,task_active_efficacy,between_person,0.2856729725343226,456
full_225,sart_inhibitory_stability_index,task_active_efficacy,within_person,0.08849835921793132,491
abbreviated_96,sart_engagement_index,task_active_efficacy,session,0.3192944642892005,744
abbreviated_96,sart_engagement_index,task_active_efficacy,between_person,0.41168469903930005,456
abbreviated_96,sart_engagement_index,task_active_efficacy,within_person,0.06600893517866938,491
abbreviated_96,sart_inhibitory_stability_index,task_active_efficacy,session,0.2925525889167128,744
abbreviated_96,sart_inhibitory_stability_index,task_active_efficacy,between_person,0.3245472585358544,456
abbreviated_96,sart_inhibitory_stability_index,task_active_efficacy,within_person,0.09518772740356848,491
