prefix_trials,duration_minutes,go_trials,nogo_trials,dimension,pearson_r,spearman_r,lins_ccc,mae,low_engagement_balanced_accuracy,low_engagement_kappa
90,1.875,84,6,engagement_vigilance,0.8442685119914883,0.8175077077913016,0.843821822520388,0.4324330049853032,0.8081861958266453,0.6075949367088608
90,1.875,84,6,inhibitory_stability,0.8748883688782937,0.8363033285094074,0.8738960895623248,0.36414619806245335,,
96,2.0,88,8,engagement_vigilance,0.8586277096546328,0.8119604873894096,0.8562458207719489,0.4069275949184115,0.8157570893525949,0.6234088628320922
96,2.0,88,8,inhibitory_stability,0.8893391094122707,0.8647301730329235,0.8859523181352613,0.34649345856149527,,
120,2.5,109,11,engagement_vigilance,0.9218526351971471,0.8818081847550511,0.9215662863313868,0.3155380635810257,0.8712145532370252,0.7318565400843882
120,2.5,109,11,inhibitory_stability,0.9305411468992164,0.9233303122611731,0.9303922510298562,0.2541317301171582,,
144,3.0,131,13,engagement_vigilance,0.9399122566702487,0.9124580227319019,0.9398523908073615,0.2590273913016073,0.8834670947030498,0.7625279285030322
144,3.0,131,13,inhibitory_stability,0.9613858548740634,0.9515291537111414,0.9610295685940217,0.19203968480629013,,
180,3.75,161,19,engagement_vigilance,0.9763506448625322,0.962451656027812,0.9753675105830982,0.1785203354126065,0.9327982878544676,0.8557071829048979
180,3.75,161,19,inhibitory_stability,0.9860958912668359,0.9818998219613833,0.9860716510389681,0.11537981234713383,,
