variant,n_sessions,n_subjects,feature_count,balanced_accuracy,macro_f1,mean_confidence,confident_coverage,confident_accuracy,median_stroop_trials,median_flanker_trials,per_class_recall
stroop_2min,744,460,11,0.5822420725429118,0.5635240542864919,0.6111172663645893,0.4838709677419355,0.7888888888888889,101.0,,"{""Paired-Control-GMM4-full-C1"": 0.5670103092783505, ""Paired-Control-GMM4-full-C2"": 0.7139175257731959, ""Paired-Control-GMM4-full-C3"": 0.42857142857142855, ""Paired-Control-GMM4-full-C4"": 0.6194690265486725}"
stroop_80,744,460,11,0.5849511207639702,0.5606326522796334,0.6016571872690397,0.45698924731182794,0.7470588235294118,80.0,,"{""Paired-Control-GMM4-full-C1"": 0.6185567010309279, ""Paired-Control-GMM4-full-C2"": 0.6623711340206185, ""Paired-Control-GMM4-full-C3"": 0.5102040816326531, ""Paired-Control-GMM4-full-C4"": 0.5486725663716814}"
stroop_100,744,460,11,0.6338840024651409,0.5998834918048787,0.6395637665943338,0.553763440860215,0.7645631067961165,100.0,,"{""Paired-Control-GMM4-full-C1"": 0.654639175257732, ""Paired-Control-GMM4-full-C2"": 0.6907216494845361, ""Paired-Control-GMM4-full-C3"": 0.6326530612244898, ""Paired-Control-GMM4-full-C4"": 0.5575221238938053}"
flanker_44,748,461,11,0.5546490711669283,0.5338156835144768,0.5705357351953538,0.4090909090909091,0.7549019607843137,,44.0,"{""Paired-Control-GMM4-full-C1"": 0.5948717948717949, ""Paired-Control-GMM4-full-C2"": 0.701530612244898, ""Paired-Control-GMM4-full-C3"": 0.4489795918367347, ""Paired-Control-GMM4-full-C4"": 0.4732142857142857}"
flanker_60,748,461,11,0.59612931711146,0.5667144475265231,0.5816425055275223,0.43983957219251335,0.7537993920972644,,60.0,"{""Paired-Control-GMM4-full-C1"": 0.6153846153846154, ""Paired-Control-GMM4-full-C2"": 0.7142857142857143, ""Paired-Control-GMM4-full-C3"": 0.5102040816326531, ""Paired-Control-GMM4-full-C4"": 0.5446428571428571}"
flanker_80,748,461,11,0.6066718995290423,0.5823409539752367,0.6076050699952664,0.48128342245989303,0.7972222222222223,,80.0,"{""Paired-Control-GMM4-full-C1"": 0.6307692307692307, ""Paired-Control-GMM4-full-C2"": 0.7142857142857143, ""Paired-Control-GMM4-full-C3"": 0.5102040816326531, ""Paired-Control-GMM4-full-C4"": 0.5714285714285714}"
stroop_2min+flanker_44,742,458,22,0.7439215681677449,0.7177130277642428,0.7689019776901482,0.7735849056603774,0.8449477351916377,101.0,44.0,"{""Paired-Control-GMM4-full-C1"": 0.7474226804123711, ""Paired-Control-GMM4-full-C2"": 0.7958656330749354, ""Paired-Control-GMM4-full-C3"": 0.673469387755102, ""Paired-Control-GMM4-full-C4"": 0.7589285714285714}"
stroop_60+flanker_44,742,458,22,0.7071056645306568,0.6803420470198926,0.7346947076675179,0.7345013477088949,0.818348623853211,60.0,44.0,"{""Paired-Control-GMM4-full-C1"": 0.7422680412371134, ""Paired-Control-GMM4-full-C2"": 0.7545219638242894, ""Paired-Control-GMM4-full-C3"": 0.6530612244897959, ""Paired-Control-GMM4-full-C4"": 0.6785714285714286}"
stroop_80+flanker_44,742,458,22,0.7429516160336108,0.7130660163773601,0.7586012506849555,0.7776280323450134,0.82842287694974,80.0,44.0,"{""Paired-Control-GMM4-full-C1"": 0.7680412371134021, ""Paired-Control-GMM4-full-C2"": 0.7751937984496124, ""Paired-Control-GMM4-full-C3"": 0.7142857142857143, ""Paired-Control-GMM4-full-C4"": 0.7142857142857143}"
stroop_100+flanker_44,742,458,22,0.7723114899280259,0.7380459569472821,0.790067771546883,0.793800539083558,0.8421052631578947,100.0,44.0,"{""Paired-Control-GMM4-full-C1"": 0.7577319587628866, ""Paired-Control-GMM4-full-C2"": 0.7906976744186046, ""Paired-Control-GMM4-full-C3"": 0.7551020408163265, ""Paired-Control-GMM4-full-C4"": 0.7857142857142857}"
stroop_80+flanker_60,742,458,22,0.7506641052489085,0.7257604181020982,0.7643421675496077,0.7762803234501348,0.8368055555555556,80.0,60.0,"{""Paired-Control-GMM4-full-C1"": 0.7525773195876289, ""Paired-Control-GMM4-full-C2"": 0.8062015503875969, ""Paired-Control-GMM4-full-C3"": 0.6938775510204082, ""Paired-Control-GMM4-full-C4"": 0.75}"
stroop_80+flanker_80,742,458,22,0.7861038720411044,0.7631926957185347,0.7862841722396819,0.7991913746630728,0.8549747048903878,80.0,80.0,"{""Paired-Control-GMM4-full-C1"": 0.7731958762886598, ""Paired-Control-GMM4-full-C2"": 0.8036175710594315, ""Paired-Control-GMM4-full-C3"": 0.7551020408163265, ""Paired-Control-GMM4-full-C4"": 0.8125}"
